ObjectID,GlobalID,CreationDate,Creator,EditDate,Editor,Date and Time,Observer,Other - Observer,Site,Other - Site,Wetland ID,Start time,Air temperature (C),Relative humidity (%),Wind speed (m/s),Wetland area ponded (%),Max water depth (cm),Canopy closure (%),Emergent vegetation (%),Additional notes on wetland conditions,Did you detect any amphibians?,Species 1 observed,Species 1 life stage,Other - Species 1 life stage,Species 1 sweeps to first detection,Species 2 observed,Species 2 life stage,Other - Species 2 life stage,Species 2 sweeps to first detection,Species 3 observed,Species 3 life stage,Other - Species 3 life stage,Species 3 sweeps to first detection,Species 4 observed,Species 4 life stage,Other - Species 4 life stage,Species 4 sweeps to first detection,Species 5 observed,Species 5 life stage,Other - Species 5 life stage,Species 5 sweeps to first detection,Species 6 observed,Species 6 life stage,Other - Species 6 life stage,Species 6 sweeps to first detection,Species 7 observed,Species 7 life stage,Other - Species 7 life stage,Species 7 sweeps to first detection,Species 8 observed,Species 8 life stage,Other - Species 8 life stage,Species 8 sweeps to first detection,Species 9 observed,Species 9 life stage,Other - Species 9 life stage,Species 9 sweeps to first detection,Species 10 observed,Species 10 life stage,Other - Species 10 life stage,Species 10 sweeps to first detection,Species 11 observed,Species 11 life stage,Other - Species 11 life stage,Species 11 sweeps to first detection,Species 12 observed,Species 12 life stage,Other - Species 12 life stage,Species 13 observed,Species 13 life stage,Other - Species 13 life stage,Species 13 sweeps to first detection,Species 14 observed,Species 14 life stage,Other - Species 14 life stage,Species 14 sweeps to first detection,Species 15 observed,Species 15 life stage,Other - Species 15 life stage,Species 15 sweeps to first detection,Sweeps to first dragonfly nymph detection ,Sweeps to first larval Dytiscid detection,Sweeps to first adult Dytiscid detection,Sweeps to first giant water bug detection,Sweeps to first crayfish detection,Sweeps to first mosquitofish detection,Sweeps to first sunfish detection,Sweeps to first warmouth detection,Sweeps to first [other] fish detection,End time,Total number of sweeps,Notes,Animal Detection Form,Did you check the ARD?,ARD Actions,ARD Notes,Did you dipnet the wetland?,x,y
39,72a2c967-b2e5-4198-8c08-7391fbef8ff2,1/19/2024 10:56:42 PM,dvs12634_USG,1/19/2024 10:56:42 PM,dvs12634_USG,1/19/2024 9:55:00 PM,other,"Paul Hassel, Dhruv Singh",Alapaha River WMA,,15,16:55,,,,20,30,51-75,51-75,Very very mossy,Yes,Rana sphenocephala,egg,,3,Notophthalmus viridescens,adult,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17:25,45,Very mossy,,No,Unit_working_and_unchanged,,Yes,-83.3807407841293,31.5247952580453
40,6d9fa0a4-1368-400d-9703-e84ab48692b5,1/19/2024 10:57:36 PM,prh01934_USG,1/19/2024 10:57:36 PM,prh01934_USG,1/19/2024 6:01:00 PM,other,Dhruv Singh and Paul Hassel,Alapaha River WMA,,30,12:59,,,,80,30,6-25,75-100,,Yes,Ambystoma tigrinum,egg,,1,Pseudacris ornata,calling adult,,1,Pseudacris ocularis,calling adult,,1,Rana sphenocephala,calling adult,,14,Pseudacris ornata,egg,,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,13:31,51,Great blue herring sweep 31,,Yes,Unit_working_and_unchanged,,Yes,-83.3480457510257,31.5163206595138
41,fa5ec7c9-370f-4d6b-a845-7bc16ce1e84f,1/19/2024 10:57:48 PM,prh01934_USG,1/19/2024 10:57:48 PM,prh01934_USG,1/19/2024 8:34:00 PM,other,Dhruv Singh and Paul Hassel,Alapaha River WMA,,18,15:36,,,,90,55,0-5,6-25,,Yes,Rana sphenocephala,calling adult,,16,Rana sphenocephala,egg,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16:00,53,Found hatched egg masses,,Yes,Unit_working_and_unchanged,,Yes,-83.3687069924139,31.5209558230554
42,2b48ef72-86af-40ca-9740-7d42488491bf,1/19/2024 11:01:15 PM,mrd13684_USG,1/19/2024 11:01:15 PM,mrd13684_USG,1/19/2024 5:59:00 PM,other,Madison Dacus and Andie Crenshaw,Alapaha River WMA,,30,13:01,,,,80,40,0-5,26-50,"
",Yes,Pseudacris ornata,adult,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:31,26,,,Yes,Unit_working_and_unchanged,Tiger salamander eggs. ,Yes,-83.3472690417898,31.5163621358543
43,d845368c-54c2-4e2b-99f4-ebc794ccee76,1/19/2024 11:04:46 PM,mrd13684_USG,1/19/2024 11:04:46 PM,mrd13684_USG,1/19/2024 8:33:00 PM,other,Madison Dacus and Meir Crenshaw ,Alapaha River WMA,,18,15:35,,,,60,40,0-5,0-5,,Yes,Eurycea quadridigitata,larvae,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16:05,27,,,Yes,Unit_working_and_unchanged,,Yes,-83.3685448137671,31.5205760195475
44,1986494f-bedd-45bb-97cd-559ebbd3ffa4,1/19/2024 11:49:16 PM,anw73923_USG,1/19/2024 11:49:16 PM,anw73923_USG,1/19/2024 3:24:00 PM,other,Andie Willis,Alapaha River WMA,,999,10:27,,,,0,0,0-5,0-5,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:33,0,,,No,Unit_working_and_unchanged,,No,-83.3882303397465,31.5376352729348
45,a77553a5-507f-4212-b630-954074eff0b0,1/19/2024 11:49:29 PM,anw73923_USG,1/19/2024 11:49:29 PM,anw73923_USG,1/19/2024 4:17:00 PM,other,"Andie Willis, Dylan lange",Alapaha River WMA,,42,11:19,,,,70,54,6-25,26-50,,Yes,Pseudacris crucifer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,11:53,37,Observed a banded water snake ,,Yes,Unit_working_and_unchanged,,Yes,-83.341958043948,31.4973842346034
46,e42f0ca8-125c-4dfa-a15a-7ea4cf68ee1b,1/19/2024 11:49:30 PM,anw73923_USG,1/19/2024 11:49:30 PM,anw73923_USG,1/19/2024 7:18:00 PM,other,"Andie Willis, Dylan Lange ",Alapaha River WMA,,X,14:19,,,,3,3,0-5,26-50,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:36,,Wrong one (:,,No,Unit_working_and_unchanged,,Yes,-83.3554406278728,31.5343655046218
47,b1f86c12-8559-47c7-b55e-ffa7edfd783d,1/19/2024 11:49:39 PM,anw73923_USG,1/19/2024 11:49:39 PM,anw73923_USG,1/19/2024 7:40:00 PM,other,"Andie Willis, Dylan Lange",Alapaha River WMA,,4,14:46,,,,60,40,0-5,26-50,,Yes,Pseudacris ornata,egg,,1,Eurycea quadridigitata,adult,,8,Rana sphenocephala,adult,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:06,9,,,Yes,Unit_working_and_unchanged,,Yes,-83.3492661701419,31.5354269562662
48,76935bb9-3881-4287-a2e0-856b8c0cd29d,1/19/2024 11:49:45 PM,anw73923_USG,1/19/2024 11:49:45 PM,anw73923_USG,1/19/2024 9:54:00 PM,other,"Andie Willis, Dylan Lange",Alapaha River WMA,,15,16:54,,,,40,40,6-25,6-25,,Yes,Rana sphenocephala,egg,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,,,,,,17:24,45,,,Yes,Unit_working_and_unchanged,,Yes,-83.3807766874128,31.5248341599934
49,a8ce3db2-85c0-4882-bc7c-f1175f074a89,1/19/2024 11:57:31 PM,ek30648_USG,1/19/2024 11:57:31 PM,ek30648_USG,1/19/2024 5:28:00 PM,"John_Maerz,Eva_Kerr,Kristina_Hefferle,Jade_Samples,Mia_Cinello-Smith",,Alapaha River WMA,,41,12:29,,,,0,0,75-100,51-75,Dry,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Unit_working_and_unchanged,,No,-83.3475522797131,31.4993071958105
50,c64d3f11-257c-4ab5-bb2c-f8b44f949bc7,1/19/2024 11:57:34 PM,ek30648_USG,1/19/2024 11:57:34 PM,ek30648_USG,1/19/2024 5:58:00 PM,"Eva_Kerr,Kristina_Hefferle",,Alapaha River WMA,,30,12:59,,,,80,34,0-5,75-100,,Yes,Rana sphenocephala,egg,,1,Ambystoma tigrinum,egg,,3,Pseudacris ornata,calling adult,,7,Pseudacris ocularis,calling adult,,7,Rana sphenocephala,calling adult,,14,Pseudacris ornata,egg,,53,Pseudacris crucifer,calling adult,,20,Acris gryllus,adult,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,,,,,,,,53,,,Yes,Unit_working_and_unchanged,,Yes,-83.3472891965619,31.5163622339029
51,3c087b70-ce95-43e8-9f3e-49e0ad286e8e,1/19/2024 11:57:44 PM,ek30648_USG,1/19/2024 11:57:44 PM,ek30648_USG,1/19/2024 9:54:00 PM,"Eva_Kerr,Kristina_Hefferle",,Alapaha River WMA,,15,16:54,,,,20,30,0-5,51-75,,Yes,Rana sphenocephala,adult,,12,Rana sphenocephala,egg,,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17:24,52,,,Yes,Unit_working_and_unchanged,Good,Yes,-83.380754507806,31.5246483615931
52,637d5c25-5c7a-4b8d-9161-5f05e1695d46,1/20/2024 2:07:24 AM,dcl44506_USG,1/20/2024 2:07:24 AM,dcl44506_USG,1/19/2024 5:59:00 PM,other,"Andie , Dylan Lange",Alapaha River WMA,,30,13:00,,,,60,12,6-25,75-100,,Yes,Rana sphenocephala,egg,,1,Ambystoma tigrinum,egg,,3,Pseudacris ornata,calling adult,,4,Pseudacris ocularis,calling adult,,10,Rana sphenocephala,calling adult,,15,Acris gryllus,adult,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,13:54,35,,,Yes,Unit_working_and_unchanged,,Yes,-83.3473491669477,31.5162665164392
53,197b4391-5a27-47bf-ae28-e44f9a7ee69e,1/20/2024 2:07:31 AM,dcl44506_USG,1/20/2024 2:07:31 AM,dcl44506_USG,1/19/2024 8:34:00 PM,other,"Dylan Lange, Andie Willis",Alapaha River WMA,,18,15:35,,,,80,40,6-25,6-25,,Yes,Rana sphenocephala,egg,,1,Rana sphenocephala,larvae,,4,Eurycea quadridigitata,larvae,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16:09,23,,,Yes,Unit_working_and_unchanged,,Yes,-83.3687069267811,31.520982217073
54,4c6d1db4-2fa9-4d10-9f4f-e53dd4e04aac,1/20/2024 3:58:43 AM,jcmaerz_USG,1/20/2024 3:58:43 AM,jcmaerz_USG,1/19/2024 5:54:00 PM,John_Maerz,,Alapaha River WMA,,32,12:56,,,,0,0,75-100,6-25,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Unit_working_and_unchanged,,No,-83.3525586682297,31.5094302824775
55,70bb9f7b-74ae-40c5-acb4-994dc9f21e31,1/20/2024 4:01:41 AM,jcmaerz_USG,1/20/2024 4:01:41 AM,jcmaerz_USG,1/19/2024 6:29:00 PM,John_Maerz,,Alapaha River WMA,,39,13:29,,,,0,0,51-75,6-25,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Unit_working_and_unchanged,,No,-83.3596176459449,31.4974557925451
56,589795bb-45f5-4347-9490-5d9775ab0c98,1/20/2024 4:03:51 AM,jcmaerz_USG,1/20/2024 4:03:51 AM,jcmaerz_USG,1/19/2024 7:01:00 PM,John_Maerz,,Alapaha River WMA,,43,14:02,,,,0,0,51-75,26-50,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Unit_working_and_unchanged,,No,-83.3602193258039,31.4949579067333
57,2bfe3db9-6ed7-4828-a20a-593628df0758,1/20/2024 4:05:48 AM,jcmaerz_USG,1/20/2024 4:05:48 AM,jcmaerz_USG,1/19/2024 7:23:00 PM,John_Maerz,,Alapaha River WMA,,34,14:23,,,,0,0,26-50,51-75,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Unit_working_and_unchanged,,No,-83.3607977670717,31.503275456224
58,5d57962c-7fcc-4501-85c8-894a718a48a8,1/20/2024 4:08:11 AM,jcmaerz_USG,1/20/2024 4:08:11 AM,jcmaerz_USG,1/19/2024 7:41:00 PM,John_Maerz,,Alapaha River WMA,,29,14:41,,,,0,0,6-25,51-75,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Unit_working_and_unchanged,,No,-83.3537585978809,31.51630184449
59,97a287f5-1e54-425a-9e56-1955cb41035e,1/20/2024 4:09:57 AM,jcmaerz_USG,1/20/2024 4:09:57 AM,jcmaerz_USG,1/19/2024 8:08:00 PM,John_Maerz,,Alapaha River WMA,,23,15:08,,,,0,0,75-100,0-5,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Unit_working_and_unchanged,,No,-83.3582308866854,31.5159216495819
60,cd07d5b9-d7e5-45b9-b829-c17a7fb1fc5c,1/20/2024 4:12:28 AM,jcmaerz_USG,1/20/2024 4:12:28 AM,jcmaerz_USG,1/19/2024 8:38:00 PM,John_Maerz,,Alapaha River WMA,,20,15:38,,,,0,0,6-25,51-75,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Unit_working_and_unchanged,,No,-83.3564685191087,31.5232741581179
61,cb541eb2-f043-444e-8d2a-403418f0e4de,1/20/2024 4:14:26 AM,jcmaerz_USG,1/20/2024 4:14:26 AM,jcmaerz_USG,1/19/2024 9:00:00 PM,John_Maerz,,Alapaha River WMA,,8,16:00,,,,0,0,26-50,26-50,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Unit_working_and_unchanged,,No,-83.3570537543757,31.5265651592591
62,b2e2c6b8-751e-42a1-be5c-f040d6718c5b,1/20/2024 4:16:39 AM,jcmaerz_USG,1/20/2024 4:16:39 AM,jcmaerz_USG,1/19/2024 9:38:00 PM,John_Maerz,,Alapaha River WMA,,10,16:38,,,,0,0,6-25,26-50,No water in ditch,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Unit_working_and_unchanged,,No,-83.3627736443795,31.5281943044846
63,18bf9597-21f6-4590-ad1c-f6be00bd0fed,1/20/2024 4:23:14 AM,kfh39602_USG,1/20/2024 4:23:14 AM,kfh39602_USG,1/19/2024 4:21:00 PM,"Eva_Kerr,Kristina_Hefferle",,Alapaha River WMA,,42,11:21,17,52,0.5,70,35,6-25,0-5,"Lots of downed wood 

",Yes,Pseudacris crucifer,calling adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,49,,,5,,,,,11:54,83,,,Yes,Unit_working_and_unchanged,,Yes,-83.3419468981884,31.4974064328516
64,b11f36b1-9742-4971-b152-89fbdd0dc6e8,1/20/2024 4:23:19 AM,kfh39602_USG,1/20/2024 4:23:19 AM,kfh39602_USG,1/19/2024 7:26:00 PM,"Eva_Kerr,Kristina_Hefferle",,Alapaha River WMA,,3,14:26,19,39,0.6,2,10,51-75,51-75,Mostly dry,Yes,Ambystoma tigrinum,egg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Unit_working_and_unchanged,,No,-83.3562354484799,31.5362822994104
65,8914e452-a6b1-48a7-a9d3-6c08b80acda0,1/20/2024 4:23:26 AM,kfh39602_USG,1/20/2024 4:23:26 AM,kfh39602_USG,1/19/2024 8:33:00 PM,"Eva_Kerr,Kristina_Hefferle",,Alapaha River WMA,,18,15:34,19,41,0.4,90,50,75-100,0-5,,Yes,Rana sphenocephala,egg,,4,Eurycea quadridigitata,larvae,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16:04,100,,,Yes,Unit_working_and_unchanged,42,Yes,-83.3687176455901,31.5209586049466
66,a5d3992e-4b17-4318-b322-04075f082304,1/23/2024 4:41:31 PM,jas16028_USG,1/23/2024 4:41:31 PM,jas16028_USG,1/19/2024 4:17:00 PM,"Mia_Cinello-Smith,Jade_Samples",,Alapaha River WMA,,42,11:21,,,,70,58,6-25,6-25,"


",Yes,Pseudacris crucifer,calling adult,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,5,,,,,11:50,82,Saw banded water snake. ,,Yes,Unit_working_and_unchanged,Looks good,Yes,-83.3419589614685,31.4973790716769
67,9e34aa24-3f8e-44a1-9e9b-6a45f06a3369,1/23/2024 4:41:33 PM,jas16028_USG,1/23/2024 4:41:33 PM,jas16028_USG,1/19/2024 6:07:00 PM,"Mia_Cinello-Smith,Jade_Samples",,Alapaha River WMA,,30,13:05,,,,80,34,6-25,51-75,,Yes,Pseudacris ocularis,calling adult,,,Pseudacris ornata,calling adult,,,,,,,Rana sphenocephala,calling adult,,,Pseudacris crucifer,calling adult,,,Ambystoma tigrinum,egg,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,13:31,80,Saw great blue heron,,Yes,Unit_working_and_unchanged,,Yes,-83.3477313857133,31.5162348348604
68,942b2c34-0a39-4253-95b3-c7ef2dbab2c1,1/23/2024 4:41:33 PM,jas16028_USG,1/23/2024 4:41:33 PM,jas16028_USG,1/19/2024 8:36:00 PM,"Mia_Cinello-Smith,Jade_Samples",,Alapaha River WMA,,18,15:37,,,,90,55,0-5,0-5,,Yes,Rana sphenocephala,egg,,1,Ambystoma tigrinum,egg,,15,Rana sphenocephala,larvae,,26,Eurycea quadridigitata,larvae,,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16:07,72,,,Yes,Unit_working_and_unchanged,,Yes,-83.3687381395642,31.5208656739925
96,e6bb6af4-d96b-453b-b70c-25825c3b1e84,2/16/2024 5:15:02 PM,knh01184_USG,2/16/2024 10:57:36 PM,knh01184_USG,2/16/2024 4:44:00 PM,"other,Mia_Cinello-Smith,Jade_Samples",KK Hiten,Alapaha River WMA,,428,11:45,21,43,0,100,45,0-5,0-5,,Yes,Rana sphenocephala,calling adult,,1,Pseudacris ocularis,calling adult,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,,,,,12:13,101,,,Yes,"Changed_SD_card,Unit_working_and_unchanged",,Yes,-83.3419166666667,31.49745
