"Year","SampleWindow","Date","Site","WetlandID","Species","Egg","Larvae","JuveAdult","Call","Notes","Total","Month"
"2019","February","1/31/2019","ARWMA","31","Rana sphenocephala",0,0,1,"0","",NA,2
"2019","February","1/31/2019","ARWMA","3","Rana sphenocephala",0,10,0,"0","",NA,2
"2019","February","1/31/2019","ARWMA","3","Rana sphenocephala",0,200,0,"0","",NA,2
"2019","February","1/31/2019","ARWMA","31","Scaphiopus holbrookii",0,2,0,"0","",NA,2
"2019","February","1/31/2019","ARWMA","31","Scaphiopus holbrookii",0,1,0,"0","",NA,2
"2019","February","2/1/2019","ARWMA","29","Acris crepitans",0,0,1,"0","",NA,2
"2019","February","2/1/2019","ARWMA","18","Acris gryllus",0,0,1,"0","",NA,2
"2019","February","2/1/2019","ARWMA","29","Acris gryllus",0,0,4,"0","",NA,2
"2019","February","2/1/2019","ARWMA","8","Acris gryllus",0,0,0,"1","calling",NA,2
"2019","February","2/1/2019","ARWMA","30","Ambystoma tigrinum",0,5,0,"0","",NA,2
"2019","February","2/1/2019","ARWMA","32","Ambystoma tigrinum",0,1,0,"0","",NA,2
"2019","February","2/1/2019","ARWMA","32","Ambystoma tigrinum",0,2,0,"0","",NA,2
"2019","February","2/1/2019","ARWMA","34","Ambystoma tigrinum",0,15,0,"0","",NA,2
"2019","February","2/1/2019","ARWMA","34","Ambystoma tigrinum",0,4,0,"0","",NA,2
"2019","February","2/1/2019","ARWMA","20","Ambystoma tigrinum",0,1,0,"0","",NA,2
"2019","February","2/1/2019","ARWMA","18","Pseudacris crucifer",0,0,0,"1","",NA,2
"2019","February","2/1/2019","ARWMA","18","Pseudacris crucifer",0,0,0,"1","calling",NA,2
"2019","February","2/1/2019","ARWMA","30","Pseudacris crucifer",0,0,0,"1","calling",NA,2
"2019","February","2/1/2019","ARWMA","20","Pseudacris crucifer",0,0,0,"1","calling",NA,2
"2019","February","2/1/2019","ARWMA","32","Pseudacris crucifer",1,0,0,"many calling","many calling",NA,2
"2019","February","2/1/2019","ARWMA","32","Pseudacris crucifer",0,0,0,"1","calling",NA,2
"2019","February","2/1/2019","ARWMA","34","Pseudacris crucifer",0,0,0,"many calling","adults calling",NA,2
"2019","February","2/1/2019","ARWMA","34","Pseudacris crucifer",0,0,0,"3","calling",NA,2
"2019","February","2/1/2019","ARWMA","43","Pseudacris crucifer",0,0,0,"1","calling",NA,2
"2019","February","2/1/2019","ARWMA","40","Pseudacris crucifer",0,0,0,"1","calling",NA,2
"2019","February","2/1/2019","ARWMA","10","Pseudacris crucifer",0,0,0,"1","calling",NA,2
"2019","February","2/1/2019","ARWMA","29","Pseudacris crucifer",0,0,0,"many calling","adults calling",NA,2
"2019","February","2/1/2019","ARWMA","29","Pseudacris crucifer",0,0,0,"many calling","many calling",NA,2
"2019","February","2/1/2019","ARWMA","20","Pseudacris crucifer",1,0,0,"0","",NA,2
"2019","February","2/1/2019","ARWMA","8","Pseudacris crucifer",0,0,0,"1","calling",NA,2
"2019","February","2/1/2019","ARWMA","8","Pseudacris crucifer",0,0,0,"1","calling",NA,2
"2019","February","2/1/2019","ARWMA","32","Pseudacris feriarum",1,0,0,"0","",NA,2
"2019","February","2/1/2019","ARWMA","34","Pseudacris feriarum",0,0,0,"1","calling",NA,2
"2019","February","2/1/2019","ARWMA","43","Pseudacris feriarum",0,0,0,"0","",NA,2
"2019","February","2/1/2019","ARWMA","40","Pseudacris feriarum",0,0,0,"1","calling",NA,2
"2019","February","2/1/2019","ARWMA","40","Pseudacris feriarum",0,0,0,"1","calling",NA,2
"2019","February","2/1/2019","ARWMA","20","Pseudacris feriarum",1,0,0,"0","",NA,2
"2019","February","2/1/2019","ARWMA","20","Pseudacris nigrita",0,0,0,"2","calling",NA,2
"2019","February","2/1/2019","ARWMA","32","Pseudacris nigrita",1,0,0,"0","",NA,2
"2019","February","2/1/2019","ARWMA","29","Pseudacris nigrita",0,0,0,">3 calling","many calling",NA,2
"2019","February","2/1/2019","ARWMA","20","Pseudacris nigrita",1,0,0,"1","calling",NA,2
"2019","February","2/1/2019","ARWMA","20","Pseudacris ocularis",0,0,0,"2","calling",NA,2
"2019","February","2/1/2019","ARWMA","34","Pseudacris ocularis",0,43,0,"many calling","adults calling",NA,2
"2019","February","2/1/2019","ARWMA","34","Pseudacris ocularis",0,30,0,"1","",NA,2
"2019","February","2/1/2019","ARWMA","43","Pseudacris ocularis",0,0,0,"1","calling",NA,2
"2019","February","2/1/2019","ARWMA","15","Pseudacris ocularis",0,0,0,"1","calling",NA,2
"2019","February","2/1/2019","ARWMA","20","Pseudacris ocularis",1,0,0,"1","calling",NA,2
"2019","February","2/1/2019","ARWMA","8","Pseudacris ocularis",0,9,0,"0","",NA,2
"2019","February","2/1/2019","ARWMA","8","Pseudacris ocularis",0,0,0,"1","calling",NA,2
"2019","February","2/1/2019","ARWMA","30","Pseudacris ornata",0,30,0,"0","",NA,2
"2019","February","2/1/2019","ARWMA","20","Pseudacris ornata",0,4,0,"0","",NA,2
"2019","February","2/1/2019","ARWMA","40","Pseudacris ornata",0,4,0,"0","",NA,2
"2019","February","2/1/2019","ARWMA","40","Pseudacris ornata",0,2,0,"0","",NA,2
"2019","February","2/1/2019","ARWMA","20","Pseudacris ornata",0,12,0,"0","",NA,2
"2019","February","2/1/2019","ARWMA","8","Pseudacris ornata",0,2,0,"0","",NA,2
"2019","February","2/1/2019","ARWMA","18","Rana sphenocephala",1,6,0,"0","",NA,2
"2019","February","2/1/2019","ARWMA","30","Rana sphenocephala",0,12,0,"0","",NA,2
"2019","February","2/1/2019","ARWMA","20","Rana sphenocephala",0,6,0,"0","",NA,2
"2019","February","2/1/2019","ARWMA","34","Rana sphenocephala",0,0,0,">5","many adults calling",NA,2
"2019","February","2/1/2019","ARWMA","34","Rana sphenocephala",15,0,0,">5","calling",NA,2
"2019","February","2/1/2019","ARWMA","20","Rana sphenocephala",0,3,0,"0","",NA,2
"2019","February","2/1/2019","ARWMA","8","Rana sphenocephala",0,0,0,"2","chorus call",NA,2
"2019","February","2/1/2019","ARWMA","8","Rana sphenocephala",0,0,0,"5","calling",NA,2
"2019","February","2/1/2019","ARWMA","32","Scaphiopus holbrookii",0,2,0,"0","",NA,2
"2019","February","2/1/2019","ARWMA","32","Scaphiopus holbrookii",0,5,0,"0","",NA,2
"2019","March","3/1/2019","ARWMA","31","Acris gryllus",0,0,0,"1","calling",NA,3
"2019","March","3/1/2019","ARWMA","31","Acris gryllus",0,0,2,"0","",NA,3
"2019","March","3/1/2019","ARWMA","3","Acris gryllus",0,0,1,"0","",NA,3
"2019","March","3/1/2019","ARWMA","32","Acris gryllus",0,0,0,"1","calling",NA,3
"2019","March","3/1/2019","ARWMA","31","Ambystoma tigrinum",0,3,0,"0","",NA,3
"2019","March","3/1/2019","ARWMA","30","Hyla cinerea",0,0,0,"2","calling",NA,3
"2019","March","3/1/2019","ARWMA","30","Hyla cinerea",0,0,0,"2","calling",NA,3
"2019","March","3/1/2019","ARWMA","18","Pseudacris nigrita",0,0,0,"1","calling",NA,3
"2019","March","3/1/2019","ARWMA","31","Pseudacris nigrita",0,2,0,"0","",NA,3
"2019","March","3/1/2019","ARWMA","30","Pseudacris nigrita",0,0,0,"2","calling",NA,3
"2019","March","3/1/2019","ARWMA","23","Pseudacris nigrita",0,0,0,"1","calling",NA,3
"2019","March","3/1/2019","ARWMA","18","Pseudacris ocularis",0,0,0,"1","calling",NA,3
"2019","March","3/1/2019","ARWMA","18","Pseudacris ocularis",0,0,0,"1","calling",NA,3
"2019","March","3/1/2019","ARWMA","31","Pseudacris ocularis",0,2,0,"2","calling",NA,3
"2019","March","3/1/2019","ARWMA","31","Pseudacris ocularis",0,0,0,"1","calling",NA,3
"2019","March","3/1/2019","ARWMA","30","Pseudacris ocularis",0,0,0,"2","calling",NA,3
"2019","March","3/1/2019","ARWMA","3","Pseudacris ocularis",0,2,0,"1","calling",NA,3
"2019","March","3/1/2019","ARWMA","3","Pseudacris ocularis",0,5,0,"2","calling",NA,3
"2019","March","3/1/2019","ARWMA","32","Pseudacris ocularis",0,0,5,"1","calling",NA,3
"2019","March","3/1/2019","ARWMA","18","Pseudacris ornata",0,2,0,"0","",NA,3
"2019","March","3/1/2019","ARWMA","18","Pseudacris ornata",0,1,0,"0","",NA,3
"2019","March","3/1/2019","ARWMA","31","Pseudacris ornata",0,8,0,"0","",NA,3
"2019","March","3/1/2019","ARWMA","31","Pseudacris ornata",0,46,0,"0","",NA,3
"2019","March","3/1/2019","ARWMA","30","Pseudacris ornata",0,2,0,"0","",NA,3
"2019","March","3/1/2019","ARWMA","3","Pseudacris ornata",0,14,0,"0","",NA,3
"2019","March","3/1/2019","ARWMA","3","Pseudacris ornata",0,24,0,"0","",NA,3
"2019","March","3/1/2019","ARWMA","30","Pseudacris ornata",0,2,0,"0","",NA,3
"2019","March","3/1/2019","ARWMA","18","Rana sphenocephala",0,1,0,"0","",NA,3
"2019","March","3/1/2019","ARWMA","31","Rana sphenocephala",0,31,0,"0","",NA,3
"2019","March","3/1/2019","ARWMA","31","Rana sphenocephala",0,8,0,"0","",NA,3
"2019","March","3/1/2019","ARWMA","3","Rana sphenocephala",0,9,0,"0","",NA,3
"2019","March","3/1/2019","ARWMA","3","Rana sphenocephala",0,26,0,"0","",NA,3
"2019","March","3/2/2019","ARWMA","10","Acris gryllus",0,0,0,"1","calling",NA,3
"2019","March","3/2/2019","ARWMA","15","Acris gryllus",0,0,0,"3","calling",NA,3
"2019","March","3/2/2019","ARWMA","20","Acris gryllus",0,0,3,"2","calling",NA,3
"2019","March","3/2/2019","ARWMA","29","Acris gryllus",0,0,10,"1","calling",NA,3
"2019","March","3/2/2019","ARWMA","41","Acris gryllus",0,0,1,"1","calling",NA,3
"2019","March","3/2/2019","ARWMA","32","Acris gryllus",0,0,0,"2","calling",NA,3
"2019","March","3/2/2019","ARWMA","43","Acris gryllus",0,0,0,"1","",NA,3
"2019","March","3/2/2019","ARWMA","35","Acris gryllus",0,0,1,"0","1 spotted in wetland; no water, no dipnet sample, no frog call survey or frog logger",NA,3
"2019","March","3/2/2019","ARWMA","34","Acris gryllus",0,0,5,"1","calling",NA,3
"2019","March","3/2/2019","ARWMA","34","Acris gryllus",0,0,9,"3","calling",NA,3
"2019","March","3/2/2019","ARWMA","43","Acris gryllus",0,0,1,"2","calling",NA,3
"2019","March","3/2/2019","ARWMA","32","Acris gryllus",0,0,0,"1","calling",NA,3
"2019","March","3/2/2019","ARWMA","29","Acris gryllus",0,0,0,"1","calling",NA,3
"2019","March","3/2/2019","ARWMA","20","Acris gryllus",0,0,0,"1","calling",NA,3
"2019","March","3/2/2019","ARWMA","8","Acris gryllus",0,0,1,"1","calling",NA,3
"2019","March","3/2/2019","ARWMA","15","Acris gryllus",0,0,2,"3","calling",NA,3
"2019","March","3/2/2019","ARWMA","10","Acris gryllus",0,0,1,"3","calling",NA,3
"2019","March","3/2/2019","ARWMA","20","Ambystoma tigrinum",0,3,0,"0","",NA,3
"2019","March","3/2/2019","ARWMA","8","Ambystoma tigrinum",0,6,0,"0","",NA,3
"2019","March","3/2/2019","ARWMA","15","Anaxyrus quercicus",0,0,0,"1","calling",NA,3
"2019","March","3/2/2019","ARWMA","15","Anaxyrus quercicus",0,0,0,"2","calling",NA,3
"2019","March","3/2/2019","ARWMA","41","Hyla chrysoscelis",0,0,0,"1","calling",NA,3
"2019","March","3/2/2019","ARWMA","15","Hyla cinerea",0,0,0,"1","calling",NA,3
"2019","March","3/2/2019","ARWMA","8","Hyla cinerea",0,0,0,"1","calling",NA,3
"2019","March","3/2/2019","ARWMA","15","Hyla cinerea",0,0,0,"1","calling",NA,3
"2019","March","3/2/2019","ARWMA","15","Hyla femoralis",0,0,0,"1","calling",NA,3
"2019","March","3/2/2019","ARWMA","8","Hyla femoralis",0,0,0,"1","calling",NA,3
"2019","March","3/2/2019","ARWMA","29","Hyla femoralis",0,0,0,"1","calling",NA,3
"2019","March","3/2/2019","ARWMA","42","Hyla femoralis",0,0,0,"1","calling",NA,3
"2019","March","3/2/2019","ARWMA","32","Hyla femoralis",0,0,0,"1","calling",NA,3
"2019","March","3/2/2019","ARWMA","29","Hyla femoralis",0,0,0,"1","calling",NA,3
"2019","March","3/2/2019","ARWMA","8","Hyla femoralis",0,0,0,"1","calling",NA,3
"2019","March","3/2/2019","ARWMA","15","Hyla femoralis",0,0,0,"2","calling",NA,3
"2019","March","3/2/2019","ARWMA","10","Hyla femoralis",0,0,0,"1","calling",NA,3
"2019","March","3/2/2019","ARWMA","15","Hyla gratiosa",0,0,0,"1","calling",NA,3
"2019","March","3/2/2019","ARWMA","15","Hyla gratiosa",0,0,0,"1","calling",NA,3
"2019","March","3/2/2019","ARWMA","15","Pseudacris crucifer",0,0,0,"3","calling",NA,3
"2019","March","3/2/2019","ARWMA","32","Pseudacris crucifer",1,0,0,"0","",NA,3
"2019","March","3/2/2019","ARWMA","15","Pseudacris crucifer",0,0,0,"3","calling",NA,3
"2019","March","3/2/2019","ARWMA","32","Pseudacris feriarum",1,0,0,"0","",NA,3
"2019","March","3/2/2019","ARWMA","8","Pseudacris nigrita",0,0,0,"2","calling",NA,3
"2019","March","3/2/2019","ARWMA","41","Pseudacris nigrita",0,12,0,"0","",NA,3
"2019","March","3/2/2019","ARWMA","32","Pseudacris nigrita",1,0,0,"0","",NA,3
"2019","March","3/2/2019","ARWMA","42","Pseudacris nigrita",0,14,0,"0","",NA,3
"2019","March","3/2/2019","ARWMA","34","Pseudacris nigrita",0,40,0,"0","",NA,3
"2019","March","3/2/2019","ARWMA","34","Pseudacris nigrita",0,20,0,"0","",NA,3
"2019","March","3/2/2019","ARWMA","42","Pseudacris nigrita",0,2,0,"0","",NA,3
"2019","March","3/2/2019","ARWMA","41","Pseudacris nigrita",0,14,0,"0","",NA,3
"2019","March","3/2/2019","ARWMA","10","Pseudacris ocularis",0,0,0,"3","calling",NA,3
"2019","March","3/2/2019","ARWMA","15","Pseudacris ocularis",0,0,0,"3","calling",NA,3
"2019","March","3/2/2019","ARWMA","8","Pseudacris ocularis",0,0,0,"2","calling",NA,3
"2019","March","3/2/2019","ARWMA","20","Pseudacris ocularis",0,1,0,"1","calling",NA,3
"2019","March","3/2/2019","ARWMA","29","Pseudacris ocularis",0,3,0,"1","calling",NA,3
"2019","March","3/2/2019","ARWMA","41","Pseudacris ocularis",0,0,0,"3","calling",NA,3
"2019","March","3/2/2019","ARWMA","32","Pseudacris ocularis",1,0,0,"0","",NA,3
"2019","March","3/2/2019","ARWMA","42","Pseudacris ocularis",0,0,0,"2","calling",NA,3
"2019","March","3/2/2019","ARWMA","43","Pseudacris ocularis",0,0,0,"3","calling",NA,3
"2019","March","3/2/2019","ARWMA","34","Pseudacris ocularis",0,0,0,"2","calling",NA,3
"2019","March","3/2/2019","ARWMA","34","Pseudacris ocularis",0,0,0,"3","calling",NA,3
"2019","March","3/2/2019","ARWMA","43","Pseudacris ocularis",0,0,0,"3","calling",NA,3
"2019","March","3/2/2019","ARWMA","42","Pseudacris ocularis",0,0,0,"2","calling",NA,3
"2019","March","3/2/2019","ARWMA","32","Pseudacris ocularis",0,0,0,"1","calling",NA,3
"2019","March","3/2/2019","ARWMA","41","Pseudacris ocularis",0,0,0,"2","calling",NA,3
"2019","March","3/2/2019","ARWMA","29","Pseudacris ocularis",0,1,0,"1","calling",NA,3
"2019","March","3/2/2019","ARWMA","20","Pseudacris ocularis",0,0,0,"3","calling",NA,3
"2019","March","3/2/2019","ARWMA","8","Pseudacris ocularis",0,0,0,"2","calling",NA,3
"2019","March","3/2/2019","ARWMA","15","Pseudacris ocularis",0,0,0,"3","calling",NA,3
"2019","March","3/2/2019","ARWMA","10","Pseudacris ocularis",0,0,0,"3","calling",NA,3
"2019","March","3/2/2019","ARWMA","10","Pseudacris ornata",0,7,0,"0","",NA,3
"2019","March","3/2/2019","ARWMA","8","Pseudacris ornata",0,28,0,"0","",NA,3
"2019","March","3/2/2019","ARWMA","20","Pseudacris ornata",0,35,0,"0","",NA,3
"2019","March","3/2/2019","ARWMA","32","Pseudacris ornata",0,7,0,"0","",NA,3
"2019","March","3/2/2019","ARWMA","42","Pseudacris ornata",0,2,0,"0","",NA,3
"2019","March","3/2/2019","ARWMA","43","Pseudacris ornata",0,7,0,"0","",NA,3
"2019","March","3/2/2019","ARWMA","34","Pseudacris ornata",0,2,0,"0","",NA,3
"2019","March","3/2/2019","ARWMA","34","Pseudacris ornata",0,12,0,"0","",NA,3
"2019","March","3/2/2019","ARWMA","43","Pseudacris ornata",0,3,0,"0","",NA,3
"2019","March","3/2/2019","ARWMA","32","Pseudacris ornata",0,1,0,"0","",NA,3
"2019","March","3/2/2019","ARWMA","29","Pseudacris ornata",0,1,0,"0","",NA,3
"2019","March","3/2/2019","ARWMA","20","Pseudacris ornata",0,52,0,"0","",NA,3
"2019","March","3/2/2019","ARWMA","8","Pseudacris ornata",0,24,0,"0","",NA,3
"2019","March","3/2/2019","ARWMA","15","Pseudacris ornata",0,0,0,"1","calling",NA,3
"2019","March","3/2/2019","ARWMA","10","Pseudacris ornata",0,4,0,"0","",NA,3
"2019","March","3/2/2019","ARWMA","15","Rana catesbeiana",0,0,0,"1","calling",NA,3
"2019","March","3/2/2019","ARWMA","41","Rana clamitans",0,0,1,"2","calling",NA,3
"2019","March","3/2/2019","ARWMA","41","Rana clamitans",0,0,0,"2","calling",NA,3
"2019","March","3/2/2019","ARWMA","8","Rana clamitans",0,0,0,"1","calling",NA,3
"2019","March","3/2/2019","ARWMA","10","Rana sphenocephala",0,0,1,"3","calling",NA,3
"2019","March","3/2/2019","ARWMA","15","Rana sphenocephala",0,7,0,"1","calling",NA,3
"2019","March","3/2/2019","ARWMA","8","Rana sphenocephala",0,7,1,"1","calling",NA,3
"2019","March","3/2/2019","ARWMA","20","Rana sphenocephala",1,25,0,"0","",NA,3
"2019","March","3/2/2019","ARWMA","29","Rana sphenocephala",0,1,0,"0","",NA,3
"2019","March","3/2/2019","ARWMA","41","Rana sphenocephala",0,1,1,"0","",NA,3
"2019","March","3/2/2019","ARWMA","43","Rana sphenocephala",0,31,0,"0","",NA,3
"2019","March","3/2/2019","ARWMA","43","Rana sphenocephala",0,52,0,"0","",NA,3
"2019","March","3/2/2019","ARWMA","42","Rana sphenocephala",0,2,0,"0","",NA,3
"2019","March","3/2/2019","ARWMA","41","Rana sphenocephala",0,2,0,"0","",NA,3
"2019","March","3/2/2019","ARWMA","29","Rana sphenocephala",0,4,0,"0","",NA,3
"2019","March","3/2/2019","ARWMA","20","Rana sphenocephala",0,21,0,"1","calling",NA,3
"2019","March","3/2/2019","ARWMA","8","Rana sphenocephala",0,15,0,"1","calling",NA,3
"2019","March","3/2/2019","ARWMA","15","Rana sphenocephala",0,7,2,"2","calling",NA,3
"2019","March","3/2/2019","ARWMA","10","Rana sphenocephala",0,0,0,"3","calling",NA,3
"2019","March","3/2/2019","ARWMA","32","Scaphiopus holbrookii",0,200,0,"0","",NA,3
"2019","March","3/2/2019","ARWMA","32","Scaphiopus holbrookii",0,1,0,"0","",NA,3
"2019","April","4/5/2019","ARWMA","29","Acris gryllus",0,0,0,"1","calling",NA,4
"2019","April","4/5/2019","ARWMA","34","Acris gryllus",0,0,0,"1","calling",NA,4
"2019","April","4/5/2019","ARWMA","8","Acris gryllus",0,0,0,"1","call",NA,4
"2019","April","4/5/2019","ARWMA","8","Acris gryllus",0,0,0,"1","call",NA,4
"2019","April","4/5/2019","ARWMA","42","Acris gryllus",0,0,0,"2","call",NA,4
"2019","April","4/5/2019","ARWMA","23","Acris gryllus",0,0,0,"1","call",NA,4
"2019","April","4/5/2019","ARWMA","23","Acris gryllus",0,0,0,"1","call",NA,4
"2019","April","4/5/2019","ARWMA","3","Acris gryllus",0,0,0,"2","call",NA,4
"2019","April","4/5/2019","ARWMA","30","Acris gryllus",0,0,0,"1","call",NA,4
"2019","April","4/5/2019","ARWMA","30","Acris gryllus",0,0,0,"1","call",NA,4
"2019","April","4/5/2019","ARWMA","31","Acris gryllus",0,0,0,"1","call",NA,4
"2019","April","4/5/2019","ARWMA","31","Acris gryllus",0,0,0,"2","call",NA,4
"2019","April","4/5/2019","ARWMA","41","Acris gryllus",0,0,0,"1","call",NA,4
"2019","April","4/5/2019","ARWMA","41","Acris gryllus",0,0,1,"2","call",NA,4
"2019","April","4/5/2019","ARWMA","15","Acris gryllus",0,0,2,"2","call",NA,4
"2019","April","4/5/2019","ARWMA","10","Acris gryllus",0,0,1,"2","call",NA,4
"2019","April","4/5/2019","ARWMA","10","Acris gryllus",0,0,3,"2","call",NA,4
"2019","April","4/5/2019","ARWMA","20","Acris gryllus",0,0,1,"1","call",NA,4
"2019","April","4/5/2019","ARWMA","30","Ambystoma tigrinum",0,2,0,"0","",NA,4
"2019","April","4/5/2019","ARWMA","3","Anaxyrus terrestris",0,1,0,"0","",NA,4
"2019","April","4/5/2019","ARWMA","3","Anaxyrus terrestris",0,6,0,"0","",NA,4
"2019","April","4/5/2019","ARWMA","20","Eurycea quadridigitata",0,1,0,"0","",NA,4
"2019","April","4/5/2019","ARWMA","18","Hyla avivoca",0,0,0,"3","call",NA,4
"2019","April","4/5/2019","ARWMA","42","Hyla chrysoscelis",0,0,0,"1","call",NA,4
"2019","April","4/5/2019","ARWMA","42","Hyla chrysoscelis",0,0,0,"1","call",NA,4
"2019","April","4/5/2019","ARWMA","42","Hyla cinerea",0,0,0,"1","call",NA,4
"2019","April","4/5/2019","ARWMA","42","Hyla femoralis",0,0,0,"2","call",NA,4
"2019","April","4/5/2019","ARWMA","42","Hyla femoralis",0,0,0,"2","call",NA,4
"2019","April","4/5/2019","ARWMA","18","Hyla femoralis",0,0,0,"1","call",NA,4
"2019","April","4/5/2019","ARWMA","3","Hyla femoralis",0,0,0,"1","call",NA,4
"2019","April","4/5/2019","ARWMA","30","Hyla femoralis",0,0,0,"1","call",NA,4
"2019","April","4/5/2019","ARWMA","15","Hyla femoralis",0,0,0,"1","call",NA,4
"2019","April","4/5/2019","ARWMA","10","Hyla femoralis",0,0,0,"1","call",NA,4
"2019","April","4/5/2019","ARWMA","29","Pseudacris crucifer",0,28,0,"0","",NA,4
"2019","April","4/5/2019","ARWMA","29","Pseudacris crucifer",0,18,0,"0","",NA,4
"2019","April","4/5/2019","ARWMA","34","Pseudacris crucifer",0,18,0,"0","",NA,4
"2019","April","4/5/2019","ARWMA","34","Pseudacris crucifer",0,10,0,"0","",NA,4
"2019","April","4/5/2019","ARWMA","8","Pseudacris crucifer",0,3,0,"0","",NA,4
"2019","April","4/5/2019","ARWMA","8","Pseudacris crucifer",0,1,0,"0","",NA,4
"2019","April","4/5/2019","ARWMA","43","Pseudacris crucifer",0,15,0,"0","",NA,4
"2019","April","4/5/2019","ARWMA","18","Pseudacris crucifer",0,1,0,"0","",NA,4
"2019","April","4/5/2019","ARWMA","3","Pseudacris crucifer",0,1,0,"0","",NA,4
"2019","April","4/5/2019","ARWMA","15","Pseudacris crucifer",0,7,0,"0","",NA,4
"2019","April","4/5/2019","ARWMA","15","Pseudacris crucifer",0,16,0,"0","",NA,4
"2019","April","4/5/2019","ARWMA","10","Pseudacris crucifer",0,1,0,"0","",NA,4
"2019","April","4/5/2019","ARWMA","20","Pseudacris crucifer",0,2,0,"0","",NA,4
"2019","April","4/5/2019","ARWMA","41","Pseudacris feriarum",0,0,0,"1","call",NA,4
"2019","April","4/5/2019","ARWMA","32","Pseudacris nigrita",0,2,0,"0","",NA,4
"2019","April","4/5/2019","ARWMA","34","Pseudacris nigrita",0,2,0,"0","",NA,4
"2019","April","4/5/2019","ARWMA","34","Pseudacris nigrita",0,15,0,"0","",NA,4
"2019","April","4/5/2019","ARWMA","8","Pseudacris nigrita",0,3,0,"0","",NA,4
"2019","April","4/5/2019","ARWMA","8","Pseudacris nigrita",0,4,0,"0","",NA,4
"2019","April","4/5/2019","ARWMA","42","Pseudacris nigrita",0,18,0,"0","",NA,4
"2019","April","4/5/2019","ARWMA","42","Pseudacris nigrita",0,23,0,"0","",NA,4
"2019","April","4/5/2019","ARWMA","18","Pseudacris nigrita",0,0,0,"1","call",NA,4
"2019","April","4/5/2019","ARWMA","3","Pseudacris nigrita",0,20,0,"0","",NA,4
"2019","April","4/5/2019","ARWMA","3","Pseudacris nigrita",0,16,0,"0","",NA,4
"2019","April","4/5/2019","ARWMA","30","Pseudacris nigrita",0,3,0,"0","",NA,4
"2019","April","4/5/2019","ARWMA","31","Pseudacris nigrita",0,2,0,"0","",NA,4
"2019","April","4/5/2019","ARWMA","41","Pseudacris nigrita",0,4,0,"0","",NA,4
"2019","April","4/5/2019","ARWMA","41","Pseudacris nigrita",0,23,0,"0","",NA,4
"2019","April","4/5/2019","ARWMA","15","Pseudacris nigrita",0,3,0,"0","",NA,4
"2019","April","4/5/2019","ARWMA","15","Pseudacris nigrita",0,4,0,"0","",NA,4
"2019","April","4/5/2019","ARWMA","10","Pseudacris nigrita",0,1,0,"0","",NA,4
"2019","April","4/5/2019","ARWMA","20","Pseudacris nigrita",0,2,0,"0","",NA,4
"2019","April","4/5/2019","ARWMA","20","Pseudacris nigrita",0,4,0,"0","",NA,4
